ua,especialidad,estado,fecha_inicio,fecha_fin,numeros,asignados,asistidos,libres,fecha_datos
La Paloma,Odontología,Cerrada,2025-01-02 08:30:00,2025-01-02 10:30:00,4,3,3,0,2025-03-15 06:01:41
Yucatan,Medicina General,Cerrada,2025-01-02 08:30:00,2025-01-02 10:50:00,7,7,4,0,2025-03-15 06:01:41
Paso De La Arena,Psicología,Cerrada,2025-01-02 08:45:00,2025-01-02 09:45:00,1,1,1,0,2025-03-15 06:01:41
Barrio Sur,Odontología,Cerrada,2025-01-02 09:00:00,2025-01-02 10:00:00,4,4,1,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-02 09:00:00,2025-01-02 10:00:00,3,3,1,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-02 09:00:00,2025-01-02 10:30:00,2,7,3,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-02 09:00:00,2025-01-02 11:00:00,4,4,1,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-02 09:00:00,2025-01-02 11:30:00,5,5,3,0,2025-03-15 06:01:41
Lavalleja,Pediatría,Cerrada,2025-01-02 09:10:00,2025-01-02 11:50:00,8,8,6,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 09:15:00,2025-01-02 10:15:00,2,0,0,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 09:15:00,2025-01-02 11:45:00,5,5,3,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 09:30:00,2025-01-02 09:45:00,1,1,1,0,2025-03-15 06:01:41
Aquiles Lanza,Pediatría,Cerrada,2025-01-02 09:30:00,2025-01-02 10:50:00,4,4,2,0,2025-03-15 06:01:41
Parque Bellan,Medicina General,Cerrada,2025-01-02 09:30:00,2025-01-02 10:50:00,4,7,7,0,2025-03-15 06:01:41
Luisa Tirapare,Nutrición,Cerrada,2025-01-02 09:30:00,2025-01-02 11:30:00,3,2,0,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-02 09:30:00,2025-01-02 11:30:00,4,4,3,0,2025-03-15 06:01:41
Yucatan,Ginecoobstetricia,Cerrada,2025-01-02 09:30:00,2025-01-02 11:30:00,6,6,2,0,2025-03-15 06:01:41
Giraldez,Pediatría,Cerrada,2025-01-02 09:30:00,2025-01-02 11:30:00,6,6,3,0,2025-03-15 06:01:41
Buceo,Partera,Cerrada,2025-01-02 09:40:00,2025-01-02 13:40:00,12,13,6,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-02 09:45:00,2025-01-02 10:00:00,1,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 09:45:00,2025-01-02 10:15:00,2,1,1,0,2025-03-15 06:01:41
Paso De La Arena,Psicología,Cerrada,2025-01-02 09:45:00,2025-01-02 12:45:00,3,3,0,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina General,Cerrada,2025-01-02 09:50:00,2025-01-02 10:10:00,1,1,1,0,2025-03-15 06:01:41
Inve 16,Partera,Cerrada,2025-01-02 09:50:00,2025-01-02 10:30:00,2,0,0,0,2025-03-15 06:01:41
La Teja,Pediatría,Cerrada,2025-01-02 10:00:00,2025-01-02 10:20:00,1,1,1,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-02 10:00:00,2025-01-02 10:40:00,2,2,2,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-02 10:00:00,2025-01-02 11:00:00,2,3,3,0,2025-03-15 06:01:41
Barrio Sur,Odontología,Cerrada,2025-01-02 10:00:00,2025-01-02 11:30:00,3,3,1,0,2025-03-15 06:01:41
Los Angeles,Odontología,Cerrada,2025-01-02 10:00:00,2025-01-02 11:30:00,3,3,3,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-02 10:00:00,2025-01-02 12:00:00,6,7,4,0,2025-03-15 06:01:41
Giraldez,Psicología,Cerrada,2025-01-02 10:00:00,2025-01-02 12:00:00,2,2,1,0,2025-03-15 06:01:41
Barrio Sur,Medicina General,Cerrada,2025-01-02 10:00:00,2025-01-02 12:00:00,6,6,5,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 10:00:00,2025-01-02 12:00:00,4,4,0,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-02 10:00:00,2025-01-02 13:30:00,5,5,2,0,2025-03-15 06:01:41
Parque Bellan,Trabajo Social,Cerrada,2025-01-02 10:00:00,2025-01-02 15:30:00,11,1,0,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 10:15:00,2025-01-02 11:15:00,4,4,1,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 10:15:00,2025-01-02 11:45:00,3,1,0,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-02 10:30:00,2025-01-02 11:30:00,3,3,2,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-02 10:30:00,2025-01-02 11:30:00,4,4,0,0,2025-03-15 06:01:41
Los Angeles,Psicología,Cerrada,2025-01-02 10:30:00,2025-01-02 12:00:00,2,2,1,0,2025-03-15 06:01:41
Inve 16,Partera,Cerrada,2025-01-02 10:30:00,2025-01-02 12:30:00,6,5,4,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-02 10:30:00,2025-01-02 14:00:00,5,6,4,0,2025-03-15 06:01:41
La Paloma,Odontología,Cerrada,2025-01-02 10:30:00,2025-01-02 14:00:00,7,8,2,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-02 10:30:00,2025-01-02 15:00:00,6,9,4,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-02 10:40:00,2025-01-02 12:00:00,4,4,4,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina General,Cerrada,2025-01-02 10:45:00,2025-01-02 11:05:00,1,2,2,0,2025-03-15 06:01:41
Aquiles Lanza,Pediatría,Cerrada,2025-01-02 10:50:00,2025-01-02 11:10:00,1,1,1,0,2025-03-15 06:01:41
Yucatan,Medicina General,Cerrada,2025-01-02 10:50:00,2025-01-02 11:30:00,2,2,2,0,2025-03-15 06:01:41
Buceo,Enfermería,Cerrada,2025-01-02 11:00:00,2025-01-02 11:30:00,1,1,1,0,2025-03-15 06:01:41
Luisa Tirapare,Pediatría,Cerrada,2025-01-02 11:00:00,2025-01-02 12:00:00,2,2,2,0,2025-03-15 06:01:41
Barrio Sur,Enfermería,Cerrada,2025-01-02 11:00:00,2025-01-02 12:00:00,3,1,1,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-02 11:00:00,2025-01-02 12:00:00,2,2,2,0,2025-03-15 06:01:41
Paso De La Arena,Ginecoobstetricia,Cerrada,2025-01-02 11:00:00,2025-01-02 12:20:00,8,9,6,0,2025-03-15 06:01:41
Parque Bellan,Odontología,Cerrada,2025-01-02 11:00:00,2025-01-02 12:30:00,3,3,1,0,2025-03-15 06:01:41
Yucatan,Odontología,Cerrada,2025-01-02 11:00:00,2025-01-02 12:40:00,5,5,5,0,2025-03-15 06:01:41
Colon,Partera,Cerrada,2025-01-02 11:00:00,2025-01-02 12:40:00,5,4,4,0,2025-03-15 06:01:41
Punta De Rieles,Psicología,Cerrada,2025-01-02 11:00:00,2025-01-02 13:00:00,2,2,1,0,2025-03-15 06:01:41
Colon,Odontología,Cerrada,2025-01-02 11:00:00,2025-01-02 13:30:00,5,5,4,0,2025-03-15 06:01:41
Aquiles Lanza,Pediatría,Cerrada,2025-01-02 11:10:00,2025-01-02 12:10:00,2,2,1,0,2025-03-15 06:01:41
Francisco Pucci,Pediatría,Cerrada,2025-01-02 11:10:00,2025-01-02 12:10:00,2,1,1,0,2025-03-15 06:01:41
La Teja,Pediatría,Cerrada,2025-01-02 11:20:00,2025-01-02 11:40:00,1,3,3,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-02 11:30:00,2025-01-02 12:00:00,1,1,1,0,2025-03-15 06:01:41
Yucatan,Medicina Familiar,Cerrada,2025-01-02 11:30:00,2025-01-02 12:00:00,1,2,2,0,2025-03-15 06:01:41
Yucatan,Ginecoobstetricia,Cerrada,2025-01-02 11:30:00,2025-01-02 12:30:00,3,3,3,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-02 11:30:00,2025-01-02 12:30:00,2,1,1,0,2025-03-15 06:01:41
Los Angeles,Odontología,Cerrada,2025-01-02 11:30:00,2025-01-02 12:30:00,2,2,0,0,2025-03-15 06:01:41
Giraldez,Pediatría,Cerrada,2025-01-02 11:30:00,2025-01-02 12:30:00,2,1,1,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-02 11:30:00,2025-01-02 12:30:00,3,3,2,0,2025-03-15 06:01:41
Yucatan,Medicina General,Cerrada,2025-01-02 11:30:00,2025-01-02 13:30:00,6,2,2,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 11:40:00,2025-01-02 11:55:00,1,1,1,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 11:45:00,2025-01-02 12:00:00,1,0,0,0,2025-03-15 06:01:41
Aquiles Lanza,Odontología,Cerrada,2025-01-02 11:45:00,2025-01-02 12:45:00,2,2,1,0,2025-03-15 06:01:41
La Teja,Odontología,Cerrada,2025-01-02 12:00:00,2025-01-02 12:30:00,2,2,0,0,2025-03-15 06:01:41
Punta De Rieles,Ginecoobstetricia,Cerrada,2025-01-02 12:00:00,2025-01-02 12:40:00,2,2,2,0,2025-03-15 06:01:41
Punta De Rieles,Partera,Cerrada,2025-01-02 12:00:00,2025-01-02 12:40:00,2,2,1,0,2025-03-15 06:01:41
La Paloma,Medicina Familiar,Cerrada,2025-01-02 12:00:00,2025-01-02 12:45:00,3,3,3,0,2025-03-15 06:01:41
Luisa Tirapare,Pediatría,Cerrada,2025-01-02 12:00:00,2025-01-02 13:00:00,3,1,1,0,2025-03-15 06:01:41
Giraldez,Psicología,Cerrada,2025-01-02 12:00:00,2025-01-02 13:00:00,1,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 12:00:00,2025-01-02 13:00:00,2,1,1,0,2025-03-15 06:01:41
Yucatan,Medicina Familiar,Cerrada,2025-01-02 12:00:00,2025-01-02 13:30:00,3,5,5,0,2025-03-15 06:01:41
Luisa Tirapare,Psicología,Cerrada,2025-01-02 12:00:00,2025-01-02 14:00:00,2,2,2,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-02 12:00:00,2025-01-02 14:20:00,7,7,6,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 12:00:00,2025-01-02 15:30:00,7,7,5,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-02 12:15:00,2025-01-02 14:15:00,6,6,6,0,2025-03-15 06:01:41
Paso De La Arena,Ginecoobstetricia,Cerrada,2025-01-02 12:20:00,2025-01-02 13:40:00,8,8,5,0,2025-03-15 06:01:41
Paso De La Arena,Odontología,Cerrada,2025-01-02 12:30:00,2025-01-02 13:00:00,1,1,1,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-02 12:30:00,2025-01-02 13:00:00,1,1,1,0,2025-03-15 06:01:41
Lavalleja,Nutrición,Cerrada,2025-01-02 12:30:00,2025-01-02 13:10:00,2,1,1,0,2025-03-15 06:01:41
Parque Bellan,Odontología,Cerrada,2025-01-02 12:30:00,2025-01-02 13:30:00,4,4,4,0,2025-03-15 06:01:41
Yucatan,Ginecoobstetricia,Cerrada,2025-01-02 12:30:00,2025-01-02 14:30:00,6,5,4,0,2025-03-15 06:01:41
Luisa Tirapare,Nutrición,Cerrada,2025-01-02 12:30:00,2025-01-02 15:30:00,6,0,0,0,2025-03-15 06:01:41
Lavalleja,Trabajo Social,Cerrada,2025-01-02 12:30:00,2025-01-02 16:00:00,7,3,2,0,2025-03-15 06:01:41
Punta De Rieles,Partera,Cerrada,2025-01-02 12:40:00,2025-01-02 13:00:00,1,1,0,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-02 12:40:00,2025-01-02 13:40:00,2,2,2,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 12:45:00,2025-01-02 13:15:00,1,1,1,0,2025-03-15 06:01:41
Aquiles Lanza,Odontología,Cerrada,2025-01-02 12:45:00,2025-01-02 14:15:00,3,3,3,0,2025-03-15 06:01:41
Lavalleja,Medicina Familiar,Cerrada,2025-01-02 13:00:00,2025-01-02 13:20:00,1,2,2,0,2025-03-15 06:01:41
Luisa Tirapare,Odontología,Cerrada,2025-01-02 13:00:00,2025-01-02 13:30:00,1,0,0,0,2025-03-15 06:01:41
Paso De La Arena,Odontología,Cerrada,2025-01-02 13:00:00,2025-01-02 13:30:00,2,2,0,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 13:00:00,2025-01-02 14:00:00,1,1,0,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 13:00:00,2025-01-02 14:00:00,2,2,2,0,2025-03-15 06:01:41
Punta De Rieles,Psicología,Cerrada,2025-01-02 13:00:00,2025-01-02 14:00:00,1,1,1,0,2025-03-15 06:01:41
Inve 16,Medicina Familiar,Cerrada,2025-01-02 13:00:00,2025-01-02 14:00:00,3,4,4,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 13:00:00,2025-01-02 14:00:00,2,1,1,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-02 13:00:00,2025-01-02 14:00:00,3,4,1,0,2025-03-15 06:01:41
Colon,Enfermería,Cerrada,2025-01-02 13:00:00,2025-01-02 15:00:00,6,2,1,0,2025-03-15 06:01:41
Aquiles Lanza,Nutrición,Cerrada,2025-01-02 13:00:00,2025-01-02 16:00:00,9,9,3,0,2025-03-15 06:01:41
Luisa Tirapare,Pediatría,Cerrada,2025-01-02 13:00:00,2025-01-02 17:00:00,12,5,2,0,2025-03-15 06:01:41
Punta De Rieles,Partera,Cerrada,2025-01-02 13:00:00,2025-01-02 17:40:00,14,15,12,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 13:15:00,2025-01-02 13:45:00,1,1,1,0,2025-03-15 06:01:41
Lavalleja,Medicina Familiar,Cerrada,2025-01-02 13:20:00,2025-01-02 15:00:00,5,5,2,0,2025-03-15 06:01:41
Punta De Rieles,Ginecoobstetricia,Cerrada,2025-01-02 13:20:00,2025-01-02 15:20:00,6,6,4,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-02 13:30:00,2025-01-02 14:00:00,1,1,0,0,2025-03-15 06:01:41
Francisco Pucci,Trabajo Social,Cerrada,2025-01-02 13:30:00,2025-01-02 14:30:00,1,3,3,0,2025-03-15 06:01:41
Colon,Odontología,Cerrada,2025-01-02 13:30:00,2025-01-02 14:30:00,4,4,0,0,2025-03-15 06:01:41
Buceo,Partera,Cerrada,2025-01-02 13:40:00,2025-01-02 15:30:00,5,3,2,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-02 13:40:00,2025-01-02 16:00:00,7,7,6,0,2025-03-15 06:01:41
Lavalleja,Pediatría,Cerrada,2025-01-02 14:00:00,2025-01-02 14:10:00,1,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 14:00:00,2025-01-02 14:30:00,1,1,1,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-02 14:00:00,2025-01-02 14:40:00,2,2,1,0,2025-03-15 06:01:41
Los Angeles,Psicología,Cerrada,2025-01-02 14:00:00,2025-01-02 14:40:00,1,1,0,0,2025-03-15 06:01:41
Zully Sanchez,Medicina Familiar,Cerrada,2025-01-02 14:00:00,2025-01-02 14:40:00,2,4,4,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-02 14:00:00,2025-01-02 15:00:00,2,1,1,0,2025-03-15 06:01:41
Paso De La Arena,Odontología,Cerrada,2025-01-02 14:00:00,2025-01-02 16:00:00,4,4,3,0,2025-03-15 06:01:41
Los Angeles,Medicina Familiar,Cerrada,2025-01-02 14:00:00,2025-01-02 16:00:00,6,6,6,0,2025-03-15 06:01:41
Inve 16,Medicina Familiar,Cerrada,2025-01-02 14:00:00,2025-01-02 16:00:00,6,6,4,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 14:00:00,2025-01-02 16:30:00,5,5,4,0,2025-03-15 06:01:41
Luisa Tirapare,Odontología,Cerrada,2025-01-02 14:00:00,2025-01-02 18:00:00,16,0,0,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-02 14:15:00,2025-01-02 14:45:00,1,1,1,0,2025-03-15 06:01:41
Aquiles Lanza,Odontología,Cerrada,2025-01-02 14:15:00,2025-01-02 15:15:00,4,4,1,0,2025-03-15 06:01:41
Paso De La Arena,Trabajo Social,Cerrada,2025-01-02 14:30:00,2025-01-02 15:00:00,3,2,2,0,2025-03-15 06:01:41
Yucatan,Ginecoobstetricia,Cerrada,2025-01-02 14:30:00,2025-01-02 15:10:00,2,2,1,0,2025-03-15 06:01:41
Zully Sanchez,Medicina Familiar,Cerrada,2025-01-02 14:40:00,2025-01-02 15:00:00,1,1,1,0,2025-03-15 06:01:41
Los Angeles,Psicología,Cerrada,2025-01-02 14:40:00,2025-01-02 15:20:00,2,2,2,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-02 14:40:00,2025-01-02 16:00:00,4,7,6,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-02 14:45:00,2025-01-02 15:15:00,1,1,0,0,2025-03-15 06:01:41
Zully Sanchez,Medicina Familiar,Cerrada,2025-01-02 15:00:00,2025-01-02 15:20:00,1,1,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 15:00:00,2025-01-02 16:00:00,2,2,1,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-02 15:00:00,2025-01-02 16:30:00,3,3,0,0,2025-03-15 06:01:41
Lavalleja,Medicina Familiar,Cerrada,2025-01-02 15:00:00,2025-01-02 16:40:00,3,3,3,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-02 15:00:00,2025-01-02 17:00:00,4,3,2,0,2025-03-15 06:01:41
Paso De La Arena,Medicina Familiar,Cerrada,2025-01-02 15:10:00,2025-01-02 16:30:00,4,4,4,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-02 15:15:00,2025-01-02 17:15:00,6,6,3,0,2025-03-15 06:01:41
Zully Sanchez,Medicina Familiar,Cerrada,2025-01-02 15:20:00,2025-01-02 17:20:00,6,6,5,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 15:30:00,2025-01-02 16:00:00,1,1,1,0,2025-03-15 06:01:41
Yucatan,Medicina Familiar,Cerrada,2025-01-02 15:30:00,2025-01-02 17:30:00,6,6,5,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-02 16:00:00,2025-01-02 16:15:00,1,1,1,0,2025-03-15 06:01:41
Inve 16,Medicina Familiar,Cerrada,2025-01-02 16:00:00,2025-01-02 17:00:00,2,3,3,0,2025-03-15 06:01:41
Aquiles Lanza,Nutrición,Cerrada,2025-01-02 16:00:00,2025-01-02 17:00:00,2,2,1,0,2025-03-15 06:01:41
Paso De La Arena,Odontología,Cerrada,2025-01-02 16:00:00,2025-01-02 17:00:00,2,2,2,0,2025-03-15 06:01:41
Luisa Tirapare,Partera,Cerrada,2025-01-02 16:00:00,2025-01-02 18:00:00,6,1,1,0,2025-03-15 06:01:41
Yano Rodriguez,Odontología,Cerrada,2025-01-02 16:30:00,2025-01-02 17:00:00,1,1,0,0,2025-03-15 06:01:41
Zully Sanchez,Medicina Familiar,Cerrada,2025-01-02 17:20:00,2025-01-02 18:00:00,1,1,1,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-03 07:00:00,2025-01-03 08:00:00,4,4,0,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina Familiar,Cerrada,2025-01-03 07:00:00,2025-01-03 09:20:00,7,8,5,0,2025-03-15 06:01:41
Giraldez,Odontología,Cerrada,2025-01-03 07:00:00,2025-01-03 10:30:00,7,7,4,0,2025-03-15 06:01:41
Lavalleja,Partera,Cerrada,2025-01-03 07:20:00,2025-01-03 08:40:00,4,2,1,0,2025-03-15 06:01:41
Luisa Tirapare,Psicología,Cerrada,2025-01-03 07:30:00,2025-01-03 08:30:00,1,1,1,0,2025-03-15 06:01:41
Crottogini,Nutrición,Cerrada,2025-01-03 07:30:00,2025-01-03 09:30:00,6,2,1,0,2025-03-15 06:01:41
Giraldez,Pediatría,Cerrada,2025-01-03 07:30:00,2025-01-03 09:30:00,6,6,4,0,2025-03-15 06:01:41
Francisco Pucci,Pediatría,Cerrada,2025-01-03 07:40:00,2025-01-03 10:10:00,7,8,6,0,2025-03-15 06:01:41
Barrio Sur,Partera,Cerrada,2025-01-03 07:50:00,2025-01-03 09:10:00,4,2,1,0,2025-03-15 06:01:41
Inve 16,Ginecoobstetricia,Cerrada,2025-01-03 08:00:00,2025-01-03 08:20:00,1,1,0,0,2025-03-15 06:01:41
Punta De Rieles,Pediatría,Cerrada,2025-01-03 08:00:00,2025-01-03 08:30:00,2,1,1,0,2025-03-15 06:01:41
Luisa Tirapare,Partera,Cerrada,2025-01-03 08:00:00,2025-01-03 08:40:00,2,2,1,0,2025-03-15 06:01:41
La Paloma,Pediatría,Cerrada,2025-01-03 08:00:00,2025-01-03 09:00:00,3,3,3,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-03 08:00:00,2025-01-03 09:00:00,1,1,0,0,2025-03-15 06:01:41
Luisa Tirapare,Pediatría,Cerrada,2025-01-03 08:00:00,2025-01-03 09:00:00,2,2,0,0,2025-03-15 06:01:41
Jose P. Varela,Odontología,Cerrada,2025-01-03 08:00:00,2025-01-03 09:00:00,2,1,1,0,2025-03-15 06:01:41
Francisco Pucci,Odontología,Cerrada,2025-01-03 08:00:00,2025-01-03 09:00:00,4,2,2,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-03 08:00:00,2025-01-03 09:00:00,1,2,2,0,2025-03-15 06:01:41
Casavalle,Odontología,Cerrada,2025-01-03 08:00:00,2025-01-03 09:00:00,1,13,9,0,2025-03-15 06:01:41
Aquiles Lanza,Medicina General,Cerrada,2025-01-03 08:00:00,2025-01-03 09:20:00,4,4,0,0,2025-03-15 06:01:41
Parque Bellan,Pediatría,Cerrada,2025-01-03 08:00:00,2025-01-03 09:30:00,3,4,3,0,2025-03-15 06:01:41
Parque Bellan,Ginecoobstetricia,Cerrada,2025-01-03 08:00:00,2025-01-03 10:00:00,6,6,6,0,2025-03-15 06:01:41
Buceo,Medicina Familiar,Cerrada,2025-01-03 08:00:00,2025-01-03 10:00:00,6,6,6,0,2025-03-15 06:01:41
